id,genre_id,genre_name,genre_type
1,100227,食品,food
2,110472,米・雑穀,food
3,100236,魚介類・水産加工品,food
4,100228,精肉・肉加工品,food
5,200990,野菜・きのこ,food
6,100246,フルーツ・果物,food
7,201085,卵,food
8,100268,惣菜,food
9,100256,麺類,food
10,100293,パン・ジャム・シリアル,food
11,100262,チーズ・乳製品,food
12,201018,豆腐・納豆・こんにゃく,food
13,100250,漬け物・梅干し・キムチ,food
14,100300,調味料,food
15,507818,粉類,food
16,410901,乾物,food
17,507779,缶詰,food
18,507788,瓶詰,food
19,101769,その他,food
20,551167,スイーツ・お菓子,sweet
21,100283,洋菓子,sweet
22,201153,クッキー・焼き菓子,sweet
23,201136,チョコレート,sweet
24,564648,ケーキ,sweet
25,201150,アイスクリーム・シャーベット,sweet
26,203223,製菓・製パン材料,sweet
27,509708,和菓子,sweet
28,564649,せんべい・米菓,sweet
29,562625,スナック菓子,sweet
30,214276,駄菓子,sweet
31,201179,中華菓子,sweet
32,214203,あめ・ミント・ガム,sweet
33,214193,ナッツ,sweet
34,410853,ドライフルーツ,sweet
35,566807,栄養補助スナック,sweet
36,568410,各種スイーツ・お菓子セット,sweet
37,551168,その他,sweet